rxns,eccodes,genes
R07274,ec-code/2.5.1.47;ec-code/2.5.1.65,IB49_10545
R07280,ec-code/3.1.3.104,IB49_14025
R07281,ec-code/4.1.99.12,IB49_03265
R07302,ec-code/6.3.1.10,IB49_03085
R07394,ec-code/3.1.3.77;ec-code/3.1.3.87,IB49_15050
R07396,ec-code/2.6.1.5;ec-code/2.6.1.57,IB49_15040
R07399,ec-code/2.3.1.182,IB49_05170
R07404,ec-code/6.3.4.18,IB49_11705
R07405,ec-code/5.4.99.18,IB49_11700
R07411,ec-code/2.5.1.141,IB49_15685
R07414,ec-code/6.3.1.11,IB49_16875
R07418,ec-code/1.2.1.99,IB49_05715
R07456,ec-code/4.3.3.6,IB49_10225 or IB49_10230
R07463,ec-code/1.4.3.19,IB49_17395
R07599,ec-code/1.2.4.4,IB49_08605 or IB49_08600 or IB49_03675 or IB49_03680
R07601,ec-code/1.2.4.4,IB49_08605 or IB49_08600 or IB49_03675 or IB49_03680
R07603,ec-code/1.2.4.4,IB49_08605 or IB49_08600 or IB49_03675 or IB49_03680
R07605,ec-code/1.7.1.13,IB49_15180
R07613,ec-code/2.6.1.83,IB49_15040
R07639,ec-code/5.3.3.14,IB49_01445
R07644,ec-code/6.3.2.14,IB49_13605 or IB49_18355
R07659,ec-code/2.6.1.87,IB49_08005
R07667,ec-code/1.2.1.28;ec-code/1.2.1.64,IB49_05715
R07762,ec-code/2.3.1.41;ec-code/2.3.1.179;ec-code/2.3.1.199;ec-code/2.3.1.-,IB49_14345
R07763,ec-code/1.1.1.100;ec-code/2.3.1.-,IB49_16180 or IB49_05650 or IB49_05745
R07764,ec-code/2.3.1.-;ec-code/4.2.1.-,IB49_09195
R07765,ec-code/1.3.1.9;ec-code/1.3.1.-;ec-code/2.3.1.-,IB49_14495 or IB49_01360
R07772,ec-code/3.7.1.12,IB49_00995
R07773,ec-code/2.1.1.195,IB49_01015
R07832,ec-code/2.8.3.8,IB49_01875
R07891,ec-code/2.3.1.16,IB49_07135 or IB49_05740
R07895,ec-code/2.3.1.16,IB49_07135 or IB49_05740
R07899,ec-code/2.3.1.16,IB49_07135 or IB49_05740
R07985,ec-code/1.1.1.291,IB49_17995
R08014,ec-code/1.-.-.-,IB49_03465 or IB49_00225
R08042,ec-code/1.-.-.-,IB49_03465 or IB49_00225
R08057,ec-code/2.7.7.65,IB49_15470
R08086,ec-code/1.2.1.86,IB49_05715
R08087,ec-code/1.2.1.-,IB49_15495
R08091,ec-code/2.3.1.16,IB49_07135 or IB49_05740
R08093,ec-code/4.2.1.17,IB49_09530 or IB49_05315
R08094,ec-code/1.1.1.35,IB49_09530
R08095,ec-code/2.3.1.16,IB49_07135 or IB49_05740
R08096,ec-code/1.2.1.-,IB49_15495
R08116,ec-code/5.5.1.1,IB49_09890
R08146,ec-code/1.2.1.3,IB49_05715
R08165,ec-code/2.2.1.9,IB49_06255
R08166,ec-code/4.2.99.20,IB49_06255
R08197,ec-code/2.6.1.84,IB49_06635
R08210,ec-code/1.17.7.4,IB49_04180
R08213,,IB49_05170
R08214,ec-code/1.1.1.-,IB49_05165
R08215,ec-code/1.1.1.-,IB49_05165
R08221,ec-code/3.5.4.5,IB49_04245
R08222,ec-code/2.4.2.4,IB49_03360
R08230,ec-code/2.4.2.4,IB49_03360
R08232,ec-code/2.7.1.48,IB49_04610
R08233,ec-code/2.7.1.21,IB49_09450
R08237,ec-code/2.4.2.8,IB49_10525
R08238,ec-code/2.4.2.8,IB49_10525
R08240,ec-code/1.1.1.205,IB49_10215
R08244,ec-code/6.3.5.2,IB49_11635
R08245,ec-code/2.4.2.8,IB49_10525
R08247,ec-code/5.4.99.62,IB49_08680
R08281,ec-code/1.1.1.1,IB49_13935
R08283,ec-code/1.2.1.5,IB49_05715
R08306,ec-code/1.1.1.1,IB49_13935
R08307,ec-code/1.2.1.5,IB49_05715
R08310,ec-code/1.1.1.1,IB49_13935
R08331,ec-code/2.3.3.-,IB49_05170
R08332,ec-code/2.3.3.-,IB49_05170
R08359,ec-code/2.5.1.16,IB49_09580 or IB49_00660
R08365,ec-code/5.3.1.-,IB49_03165
R08528,ec-code/2.5.1.68,IB49_16495
R08549,ec-code/1.2.4.2;ec-code/1.8.1.4;ec-code/2.3.1.61,IB49_15390 or IB49_15580 or IB49_15395 or IB49_03685
R08555,ec-code/4.2.1.126,IB49_01795
R08558,ec-code/1.1.1.1,IB49_13915
R08572,ec-code/2.7.1.165,IB49_09940
R08620,ec-code/4.2.1.170,IB49_05160
R08624,ec-code/4.2.1.170,IB49_05160
R08628,ec-code/4.2.1.170,IB49_05160
R08634,ec-code/4.2.1.170,IB49_05160
R08639,ec-code/5.4.2.2;ec-code/5.4.2.5,IB49_13260 or IB49_12195 or IB49_09085
R08641,ec-code/4.2.1.170,IB49_05160
R08645,ec-code/4.2.1.170,IB49_05160
R08648,ec-code/2.2.1.6,IB49_05185 or IB49_05180
R08714,ec-code/2.6.1.113,IB49_17520
R08734,ec-code/5.1.99.4,IB49_16830
R08739,ec-code/5.1.99.4,IB49_16830
R08871,ec-code/2.3.1.183,IB49_06575
R08878,ec-code/1.1.1.274;ec-code/1.1.1.346,IB49_13225
R08938,ec-code/2.3.1.183,IB49_06575
R08991,ec-code/3.1.4.52,IB49_13760
R09030,ec-code/5.3.1.6,IB49_09400
R09078,ec-code/1.1.1.304,IB49_00335 or IB49_16180
R09099,ec-code/2.1.2.1,IB49_09390
R09229,ec-code/5.5.1.1,IB49_09890
R09244,ec-code/2.5.1.86,IB49_16495
R09245,ec-code/2.5.1.83,IB49_02825
R09247,ec-code/2.5.1.30,IB49_02825 or IB49_02835
R09248,ec-code/2.5.1.90,IB49_02825
R09250,ec-code/2.5.1.84,IB49_02825
R09251,ec-code/2.5.1.85,IB49_02825
R09252,ec-code/1.3.8.10,IB49_09520
R09279,ec-code/6.2.1.40,IB49_05325
R09280,ec-code/1.2.1.76,IB49_01455
R09281,ec-code/1.1.1.-,IB49_17995
R09284,ec-code/5.4.4.3,IB49_16875
R09292,ec-code/5.4.99.63,IB49_03630
R09293,ec-code/1.3.8.12,IB49_09520
R09365,ec-code/2.1.1.13;ec-code/2.1.1.14,IB49_13855
R09366,ec-code/4.4.1.1;ec-code/4.4.1.13,IB49_04570
R09372,ec-code/1.8.1.9,IB49_07485
R09497,ec-code/1.7.5.1,IB49_01145 or IB49_01150 or IB49_01160
R09501,ec-code/1.8.5.3,IB49_10055
R09588,ec-code/6.1.2.1,IB49_11375
R09600,ec-code/5.1.3.23,IB49_07975
R09726,ec-code/2.7.7.75,IB49_05695
R09730,ec-code/2.5.1.89,IB49_16495
R09735,ec-code/2.10.1.1,IB49_14215
R09748,ec-code/1.5.1.36;ec-code/1.5.1.37;ec-code/1.5.1.45,IB49_07205
R09750,ec-code/1.5.1.36;ec-code/1.5.1.41,IB49_07205
R09819,ec-code/1.14.14.12,IB49_07205
R09830,ec-code/1.4.1.20,IB49_03695
R09837,ec-code/5.3.3.18,IB49_00345
R09839,ec-code/2.3.1.223,IB49_00260 or IB49_00345
R09951,ec-code/1.1.1.369,IB49_02295
R09954,ec-code/1.1.1.371;ec-code/1.1.1.-,IB49_08635
R09956,ec-code/1.1.1.51,IB49_00335
R09957,ec-code/1.1.1.51,IB49_00335
R09977,ec-code/5.3.99.10,IB49_13385
R09978,ec-code/6.3.4.20,IB49_15165
R09979,ec-code/5.1.99.1,IB49_03535
R09993,ec-code/3.5.99.2;ec-code/3.5.99.-,IB49_13365
R10002,ec-code/4.3.99.3,IB49_15175
R10009,ec-code/4.2.3.130,IB49_06110
R10035,ec-code/3.2.1.21,IB49_08540
R10039,ec-code/3.2.1.21,IB49_08540
R10040,ec-code/3.2.1.21,IB49_08540
R10074,ec-code/1.3.8.6,IB49_12835
R10115,ec-code/2.3.1.41;ec-code/2.3.1.179,IB49_14345
R10116,ec-code/1.1.1.100,IB49_16180 or IB49_05650 or IB49_05745
R10117,ec-code/4.2.1.59,IB49_09195
R10118,ec-code/1.3.1.10,IB49_14495
R10119,ec-code/2.3.1.41;ec-code/2.3.1.179,IB49_14345
R10120,ec-code/1.1.1.100,IB49_16180 or IB49_05650 or IB49_05745
R10121,ec-code/4.2.1.59,IB49_09195
R10122,ec-code/1.3.1.10,IB49_14495
R10124,ec-code/2.3.1.47,IB49_02360
R10125,ec-code/1.1.1.-,IB49_15495
R10126,ec-code/1.1.1.-,IB49_15495
R10127,ec-code/1.-.-.-,IB49_10055
R10129,ec-code/1.1.1.331,IB49_17995
R10140,ec-code/1.1.1.335,IB49_07995
R10141,ec-code/2.6.1.98,IB49_08005
R10147,ec-code/4.3.3.7,IB49_16620
R10170,ec-code/4.2.1.33,IB49_05160 or IB49_05155
R10178,ec-code/2.6.1.96,IB49_17520
R10184,ec-code/2.7.8.36,IB49_09150
R10185,ec-code/2.7.8.37,IB49_08675
R10203,ec-code/1.14.14.35,IB49_08440
R10206,ec-code/1.14.14.5;ec-code/1.14.14.34,IB49_08440 or IB49_08425
R10210,,IB49_05315
R10279,ec-code/5.1.3.25,IB49_09140
R10305,ec-code/2.5.1.134,IB49_04575
R10460,ec-code/2.6.1.102,IB49_08005
R10463,ec-code/2.7.7.87,IB49_09425
R10502,ec-code/1.1.1.-,IB49_05165
R10505,ec-code/1.1.1.-,IB49_00335 or IB49_16180
R10601,ec-code/1.3.8.11,IB49_09520
R10615,ec-code/1.2.1.89,IB49_11230
R10619,ec-code/5.1.3.3,IB49_01380
R10660,ec-code/1.3.4.1,IB49_04865
R10668,ec-code/3.2.2.30,IB49_04580
R10675,ec-code/4.2.1.149,IB49_18375
R10690,ec-code/1.1.1.-,IB49_00335
R10691,ec-code/3.7.1.-,IB49_13750
R10698,ec-code/2.6.1.104,IB49_08005
R10699,ec-code/2.6.1.105,IB49_07180
R10703,ec-code/1.1.1.-,IB49_08390
R10707,ec-code/2.3.1.180,IB49_14340
R10712,ec-code/2.5.1.3,IB49_09805
R10719,ec-code/1.1.1.373,IB49_15410
R10757,ec-code/2.5.1.74,IB49_06270
R10769,ec-code/6.2.1.41,IB49_18355
R10788,ec-code/1.1.1.377;ec-code/1.1.1.378,IB49_16180
R10797,ec-code/1.17.98.3,IB49_12905
R10820,ec-code/6.2.1.44,IB49_16835
R10829,ec-code/2.4.1.320,IB49_08905
R10843,ec-code/1.13.11.84,IB49_02630
R10844,ec-code/1.13.11.84,IB49_02630
R10847,ec-code/5.5.1.27,IB49_09890
R10859,ec-code/1.17.7.3,IB49_04125
R10860,ec-code/1.2.1.90,IB49_01455
R10917,ec-code/1.1.1.385,IB49_00335
R10919,ec-code/1.1.1.386,IB49_15245
R10936,ec-code/4.2.1.155,IB49_18375
R10938,ec-code/5.1.1.20,IB49_09890
R10948,ec-code/6.3.5.5,IB49_16005 or IB49_16000 or IB49_14300
R10949,ec-code/6.3.5.5,IB49_16005 or IB49_16000 or IB49_14300
R10955,ec-code/2.4.1.331,IB49_07180
R10956,ec-code/2.1.1.305,IB49_07180
R10957,ec-code/2.1.1.306,IB49_07180
R10960,ec-code/2.3.1.235,IB49_14345
R10970,ec-code/2.7.1.184,IB49_08685
R10991,ec-code/2.6.1.42,IB49_05190
R10995,ec-code/1.1.1.378,IB49_16180
R10996,ec-code/1.2.4.4,IB49_08605 or IB49_08600 or IB49_03675 or IB49_03680
R11038,ec-code/2.6.1.108,IB49_06635
R11051,ec-code/1.1.1.-,IB49_01780
R11067,,IB49_15405
R11068,,IB49_15040
R11130,ec-code/1.3.8.-,IB49_09525
R11153,ec-code/1.14.13.212,IB49_00320
R11174,ec-code/2.7.8.26,IB49_03070
R11183,ec-code/2.7.1.189,IB49_01370
R11195,ec-code/1.2.1.96,IB49_01455
R11263,ec-code/4.2.1.117,IB49_16985
R11311,ec-code/3.2.1.65,IB49_09760
R11319,ec-code/2.7.4.3,IB49_10930
R11323,ec-code/3.6.1.9,IB49_10460
R11329,ec-code/4.99.1.9,IB49_13585
R11332,ec-code/5.3.1.33,IB49_07360
R11339,ec-code/1.1.1.401,IB49_16180
R11372,ec-code/4.6.1.17,IB49_11565 or IB49_14200
R11395,ec-code/2.6.1.109,IB49_08005
R11398,ec-code/2.4.1.339,IB49_08905
R11402,ec-code/2.7.7.91,IB49_06310
R11435,,IB49_16175
R11472,ec-code/1.1.1.-,IB49_05285
R11474,ec-code/1.1.1.-,IB49_01780
R11516,ec-code/2.3.1.260,IB49_14345
R11522,ec-code/1.11.1.-,IB49_09650
R11536,ec-code/2.7.1.215,IB49_01370
R11581,ec-code/2.7.7.77,IB49_14100
R11582,ec-code/2.7.7.76,IB49_12415
R11599,ec-code/2.4.1.343,IB49_12975
R11607,ec-code/2.6.1.111,IB49_12975
R11608,ec-code/6.2.1.50,IB49_13605
R11627,ec-code/6.3.5.12,IB49_00990
R11632,ec-code/6.2.1.48,IB49_13605
R11655,ec-code/1.5.1.51,IB49_14860
R11667,,IB49_02360
R11700,ec-code/2.1.1.342,IB49_04340
R11705,ec-code/2.5.1.140,IB49_17970
R11711,ec-code/1.14.14.47,IB49_00320
R11712,ec-code/1.14.14.47,IB49_00320
R11713,ec-code/1.14.14.47,IB49_00320
R11721,ec-code/5.3.1.35,IB49_17990
R11722,ec-code/5.3.1.35,IB49_17990
R11765,ec-code/1.5.1.3,IB49_00910
R11872,ec-code/6.2.1.50,IB49_13605
R11873,ec-code/6.2.1.50,IB49_13605
R11894,ec-code/2.7.4.6,IB49_02820
R11895,ec-code/2.7.4.6,IB49_02820
R11944,ec-code/1.8.98.6,IB49_12905
R12024,ec-code/3.5.1.128,IB49_15035
R12175,ec-code/1.3.1.99,IB49_09520
R12214,ec-code/2.6.1.82,IB49_11235
R12215,ec-code/1.2.1.19,IB49_05715
R12272,ec-code/6.3.2.53,IB49_15860
R12352,ec-code/6.3.5.-,IB49_14815
R04231,,IB49_16075
R03269,,IB49_16075
R02472,,IB49_13335
R00009,,IB49_00430
R00267,,IB49_05560
R02413,,IB49_04485
R00549,,IB49_16565
R00161,,IB49_16565
R03314,,
R01652,,
R02101,,IB49_00915
R04365,,IB49_15520
R01777,,IB49_00960
R00751,,
R04014,,IB49_00680 or IB49_01350 or IB49_18150
R08163,,IB49_00680 or IB49_01350 or IB49_18150
R08159,,IB49_00680 or IB49_01350 or IB49_18150
R01706,,IB49_00680 or IB49_01350 or IB49_18150
R02035,,
R08575,,IB49_09480
R00104,,IB49_05820 or IB49_14470
R00619,,IB49_16125
R00004,,IB49_03015 or IB49_07560
R00138,,IB49_03015 or IB49_07560
CO2_to_H2Carbonate,,
H2Carbonate_to_Carbonate,,
Glu->PreHeme,,IB49_05115
R00955,,IB49_02500
EX_Acetate,,
EX_Lactate,,
EX_Pyruvate,,
EX_Citrate,,
EX_Succinate,,
EX_Alanine,,
EX_Asparagine,,
EX_Aspartate,,
EX_Glutamine,,
EX_Glutamate,,
EX_Glycine,,
EX_Isoleucine,,
EX_Leucine,,
EX_Lysine,,
EX_Methionine,,
EX_Phenylalanine,,
EX_Proline,,
EX_Serine,,
EX_Threonine,,
EX_Tyrosine,,
EX_Valine,,
EX_Arginine,,
EX_Cysteine,,
EX_Histidine,,
EX_Tryptophan,,
EX_Fumarate,,
EX_Ethanol,,
3HB thioesterase,,IB49_00680 or IB49_01350 or IB49_1815
EX_3HB,,
EX_Galactose,,
EX_Mannose,,
EX_Xylose,,
EX_Glucose,,
EX_Oxygen,,
EX_Orthophosphate,,
EX_Ammonia,,
EX_Sulfate,,
EX_H2O,,
EX_H,,
EX_CO2,,
EX_Molybdate,,
EX_VitB12,,
EX_PyridoxinHydrochloride,,
EX_Thiamine,,
EX_Nicotinicacid,,
EX_p-aminobenzoate,,
EX_Biotin,,
EX_Folate,,
EX_Fe,,
PTS,,IB49_15245 and IB49_15250 and IB49_09775 and IB49_15255
PTS_Fru,,IB49_01210 and IB49_15255
PTS_Man,,IB49_01210 and IB49_15255
Glycerol3P_import,,IB49_01970 and IB49_01980 and IB49_01985
Xylose_import,,IB49_01410 and IB49_01390
Molybdate_import,,IB49_05405 and IB49_14195
VitB12_import,,
PyrHCl_import,,
Thiamine_import,,
Nicotinate_import,,
Aminobenzoate_import,,
Biotin_import,,IB49_06815 or IB49_07190
Folate_import,,
Iron_import,,
Phosphate_import,,IB49_04110 and IB49_04100 and IB49_04075
Glucose_import(ABC),,IB49_08495 and IB49_08490 and IB49_08485 and IB49_13425
Galactose_import,,
Complex_I,,IB49_09280 and IB49_09330 and IB49_09325 and IB49_09315 and IB49_09310 and IB49_09305 and IB49_09300 and IB49_09295 and IB49_09290 and IB49_09285 and IB49_09280
Complex_II,,IB49_05230 and IB49_05235
Complex_III,,IB49_15690 and IB49_15695 and IB49_15700 and IB49_15705 and IB49_18085 and IB49_18090
ATP_Synthase,,IB49_09335 and IB49_09340 and IB49_09345 and IB49_09350 and IB49_09355 and IB49_09360 and IB49_09365 and IB49_09370
Teichuronic_acid,,
Peptidoglycan,,
CellWall,,
aa_to_prot,,
CellMembrane,,
RNA,,IB49_06300
DNA,,IB49_17680 and IB49_05605 and IB49_16520 and IB49_10325 and IB49_10135 and IB49_04370 and IB49_04210 and IB49_08350 and IB49_10040 and IB49_17005 and IB49_16255 and IB49_05360 and IB49_05535 and IB49_11790 and IB49_17005 and IB49_17495
Glycogen,,
Cofactor_Pool,,
Biomass,,
EX_Biomass,,
