rxns,eccodes,genes
R00742,ec-code/6.4.1.2,IB49_18360 or IB49_03790 or IB49_05590 or IB49_05595 or IB49_03530 or IB49_03795 or IB49_18365
R00754,ec-code/1.1.1.1;ec-code/1.1.1.71,IB49_13935 or IB49_13915 or IB49_01765 or IB49_02205
R00756,ec-code/2.7.1.11,IB49_05585 or IB49_01215
R00762,ec-code/3.1.3.11,IB49_09470
R00765,ec-code/3.5.99.6,IB49_03165
R00768,ec-code/2.6.1.16,IB49_11120
R00771,ec-code/5.3.1.9,IB49_06610 or IB49_02190
R00774,ec-code/6.3.4.6,IB49_18360
R00776,ec-code/4.3.2.3,IB49_13750
R00782,ec-code/4.4.1.1;ec-code/4.4.1.13;ec-code/4.4.1.28,IB49_06650 or IB49_04570 or IB49_14660
R00791,ec-code/1.7.7.2,IB49_01330
R00801,ec-code/3.2.1.10;ec-code/3.2.1.20;ec-code/3.2.1.26;ec-code/3.2.1.48,IB49_13340 or IB49_09760
R00829,ec-code/2.3.1.16;ec-code/2.3.1.174,IB49_01860 or IB49_07135 or IB49_00260 or IB49_05740
R00830,ec-code/2.3.1.37,IB49_02360
R00833,ec-code/5.4.99.2,IB49_03630 or IB49_03635
R00835,ec-code/1.1.1.49;ec-code/1.1.1.363,IB49_03475 or IB49_02200
R00837,ec-code/3.2.1.93;ec-code/3.2.1.122,IB49_13340 or IB49_00695
R00839,ec-code/3.2.1.86,IB49_14730 or IB49_08530
R00841,ec-code/3.1.3.21,IB49_06945
R00844,ec-code/1.1.1.94,IB49_02870
R00846,ec-code/1.1.3.21,IB49_02535
R00858,ec-code/1.8.1.2,IB49_17440 or IB49_17435
R00878,ec-code/5.3.1.5,IB49_01375
R00880,ec-code/1.1.1.132,IB49_14525
R00885,ec-code/2.7.7.13,IB49_12180 or IB49_09090
R00891,ec-code/4.2.1.22,IB49_17970
R00896,ec-code/2.6.1.1,IB49_02630 or IB49_06635
R00897,ec-code/2.5.1.47;ec-code/2.5.1.65,IB49_10545
R00899,ec-code/3.4.11.1;ec-code/3.4.11.2;ec-code/3.4.11.23;ec-code/3.4.13.-,IB49_06830
R00904,ec-code/1.2.1.3;ec-code/1.2.1.5;ec-code/1.2.1.19,IB49_05715
R00905,ec-code/3.5.1.6,IB49_08770
R00907,ec-code/2.6.1.18,IB49_17520
R00908,ec-code/2.6.1.19;ec-code/2.6.1.55,IB49_11235 or IB49_17520
R00919,ec-code/1.3.1.84;ec-code/1.3.1.-,IB49_17530
R00921,ec-code/2.3.1.8;ec-code/2.3.1.222,IB49_09645 or IB49_15075
R00922,ec-code/1.2.1.27,IB49_01755
R00927,ec-code/2.3.1.9;ec-code/2.3.1.16,IB49_01860 or IB49_07135 or IB49_05740
R00931,ec-code/2.3.3.5,IB49_05565
R00935,ec-code/1.2.1.27,IB49_01755
R00939,ec-code/1.5.1.3,IB49_00910
R00943,ec-code/6.3.4.3,IB49_03775
R00945,ec-code/2.1.2.1,IB49_09390
R00946,ec-code/2.1.1.13,IB49_13855
R00948,ec-code/2.7.7.27,IB49_06310 or IB49_06305
R00962,ec-code/2.7.1.48,IB49_04610
R00963,ec-code/3.1.3.5,IB49_08200
R00964,ec-code/2.7.1.48;ec-code/2.7.1.213,IB49_04610
R00965,ec-code/4.1.1.23,IB49_16020
R00966,ec-code/2.4.2.9,IB49_09385 or IB49_15980
R00967,ec-code/2.7.1.48,IB49_04610
R00968,ec-code/2.7.1.48,IB49_04610
R00970,ec-code/2.7.1.48,IB49_04610
R00982,ec-code/6.2.1.32,IB49_05765
R00985,ec-code/4.1.3.27,IB49_02790 or IB49_10550 or IB49_10555
R00986,ec-code/4.1.3.27,IB49_02790 or IB49_10550 or IB49_10555
R00994,ec-code/1.1.1.85,IB49_05165
R00996,ec-code/4.3.1.19,IB49_00900
R00999,ec-code/2.5.1.48,IB49_04570 or IB49_14655
R01000,ec-code/1.1.1.27,IB49_12995
R01001,ec-code/4.4.1.1,IB49_04570
R01015,ec-code/5.3.1.1,IB49_07360
R01016,ec-code/4.2.3.3,IB49_02685
R01030,ec-code/3.1.4.2;ec-code/3.1.4.46,IB49_01085 or IB49_03710
R01034,ec-code/1.1.1.6,IB49_18420
R01041,ec-code/1.1.1.2;ec-code/1.1.1.21;ec-code/1.1.1.72;ec-code/1.1.1.372,IB49_13225
R01049,ec-code/2.7.6.1,IB49_10425
R01051,ec-code/2.7.1.15,IB49_08685
R01054,ec-code/3.6.1.13;ec-code/3.6.1.21;ec-code/3.6.1.53;ec-code/3.6.1.-,IB49_03400
R01055,ec-code/4.2.1.70,IB49_17115
R01056,ec-code/5.3.1.6,IB49_09400
R01057,ec-code/5.4.2.2;ec-code/5.4.2.7,IB49_13260 or IB49_03370 or IB49_12195 or IB49_09085
R01061,ec-code/1.2.1.12;ec-code/1.2.1.59,IB49_07370
R01066,ec-code/4.1.2.4,IB49_04300
R01067,ec-code/2.2.1.1,IB49_16905
R01068,ec-code/4.1.2.13,IB49_09485
R01069,ec-code/4.1.2.40,IB49_09485
R01071,ec-code/2.4.2.17,IB49_07530 or IB49_07535
R01072,ec-code/2.4.2.14,IB49_11735
R01073,ec-code/2.4.2.18,IB49_02790
R01074,ec-code/6.2.1.11;ec-code/6.3.4.9;ec-code/6.3.4.10;ec-code/6.3.4.11,IB49_02665
R01082,ec-code/4.2.1.2,IB49_12670 or IB49_11610
R01083,ec-code/4.3.2.2,IB49_11710
R01085,ec-code/3.7.1.5;ec-code/3.7.1.20,IB49_13750
R01086,ec-code/4.3.2.1,IB49_05665
R01088,ec-code/1.4.1.9,IB49_03695
R01090,ec-code/2.6.1.6;ec-code/2.6.1.42;ec-code/2.6.1.67,IB49_05190
R01092,ec-code/2.7.1.6,IB49_02510
R01094,ec-code/1.1.1.48,IB49_15210
R01097,ec-code/1.1.1.48;ec-code/1.1.1.120,IB49_15210
R01126,ec-code/3.1.3.5;ec-code/3.1.3.99,IB49_08200
R01127,ec-code/3.5.4.10,IB49_11750
R01130,ec-code/1.1.1.205,IB49_10215
R01132,ec-code/2.4.2.8,IB49_10525 or IB49_10520
R01135,ec-code/6.3.4.4,IB49_10010
R01137,ec-code/2.7.4.6,IB49_02820
R01138,ec-code/2.7.1.40,IB49_05580 or IB49_07195
R01148,ec-code/2.6.1.21,IB49_05190
R01150,ec-code/6.3.2.4,IB49_11375
R01152,ec-code/3.5.1.53,IB49_15035
R01155,ec-code/2.6.1.29;ec-code/2.6.1.82,IB49_11235
R01157,ec-code/3.5.3.11,IB49_09575
R01158,ec-code/1.1.1.23,IB49_07525
R01163,ec-code/1.1.1.23,IB49_07525
R01172,ec-code/1.2.1.10;ec-code/1.2.1.57;ec-code/1.2.1.87,IB49_02205
R01175,ec-code/1.3.3.6;ec-code/1.3.8.1;ec-code/1.3.8.7;ec-code/1.3.99.-,IB49_09520 or IB49_15415 or IB49_05755
R01176,ec-code/6.2.1.2,IB49_05325
R01177,ec-code/2.3.1.9;ec-code/2.3.1.16,IB49_09535 or IB49_01860 or IB49_07135 or IB49_05740
R01183,ec-code/1.1.1.18,IB49_02295
R01185,ec-code/3.1.3.25,IB49_15620
R01186,ec-code/3.1.3.25,IB49_15620
R01187,ec-code/3.1.3.25,IB49_15620
R01196,ec-code/1.2.7.1;ec-code/1.2.7.11,IB49_16750 or IB49_16755
R01197,ec-code/1.2.7.3;ec-code/1.2.7.11,IB49_16750 or IB49_16755
R01209,ec-code/4.2.1.9,IB49_02040
R01212,ec-code/1.4.1.8,IB49_03695
R01213,ec-code/2.3.3.13,IB49_05170
R01214,ec-code/2.6.1.6;ec-code/2.6.1.42,IB49_05190
R01220,ec-code/1.5.1.5,IB49_03775
R01221,ec-code/1.4.4.2;ec-code/1.8.1.4;ec-code/2.1.2.10,IB49_03920 or IB49_03925 or IB49_03930 or IB49_15580 or IB49_07120 or IB49_03685
R01224,ec-code/1.5.1.20,IB49_13860
R01226,ec-code/2.1.2.11,IB49_02660
R01227,ec-code/3.1.3.5,IB49_08200
R01229,ec-code/2.4.2.7;ec-code/2.4.2.8;ec-code/2.4.2.22,IB49_04760 or IB49_10525 or IB49_10520
R01230,ec-code/6.3.5.2,IB49_11635
R01231,ec-code/6.3.5.2,IB49_11635
R01244,ec-code/3.5.4.2,IB49_11765 or IB49_02250
R01249,ec-code/1.5.1.1;ec-code/1.5.1.21;ec-code/1.5.1.49,IB49_14860
R01251,ec-code/1.5.1.2,IB49_03455
R01256,ec-code/6.2.1.9,IB49_16275 or IB49_16270
R01279,ec-code/1.3.3.6;ec-code/1.3.8.7;ec-code/1.3.8.8;ec-code/1.3.8.9,IB49_16825 or IB49_15415 or IB49_05755
R01280,ec-code/6.2.1.3,IB49_05325 or IB49_15425
R01283,ec-code/4.4.1.2,IB49_04570
R01286,ec-code/4.4.1.13,IB49_06650 or IB49_14660
R01287,ec-code/2.5.1.49,IB49_11840
R01288,ec-code/2.5.1.48;ec-code/2.5.1.-,IB49_04570 or IB49_11840 or IB49_14655
R01290,ec-code/4.2.1.22,IB49_17970
R01291,ec-code/4.4.1.21,IB49_06190
