rxns,eccodes
R03991,ec-code/2.3.1.16;ec-code/2.3.1.155
R03999,ec-code/1.14.13.40
R04001,ec-code/4.2.1.33
R04030,ec-code/6.2.1.26
R04031,ec-code/4.2.1.113
R04035,ec-code/3.6.1.31
R04037,ec-code/3.5.4.19
R04065,ec-code/1.2.1.3
R04095,ec-code/1.3.8.4;ec-code/1.3.8.7
R04112,ec-code/3.5.1.28
R04134,ec-code/5.3.3.-
R04137,ec-code/4.2.1.17
R04138,ec-code/6.4.1.4
R04143,ec-code/2.7.1.100
R04144,ec-code/6.3.4.13
R04148,ec-code/2.4.2.21
R04158,ec-code/2.5.1.41
R04170,ec-code/4.2.1.17;ec-code/4.2.1.74
R04173,ec-code/2.6.1.52
R04178,ec-code/1.3.3.15
R04187,ec-code/2.6.1.18
R04188,ec-code/2.6.1.22
R04199,ec-code/1.17.1.8
R04203,ec-code/1.1.1.35;ec-code/1.1.1.178
R04204,ec-code/4.2.1.17
R04208,ec-code/6.3.3.1
R04224,ec-code/4.2.1.17
R04251,ec-code/1.2.1.-
R04292,ec-code/2.5.1.72
R04325,ec-code/2.1.2.2
R04326,ec-code/2.1.2.2
