ProteinID	ReplicateA	ReplicateB	ReplicateC	ReplicateD
AKU26517.1	0.000779029268121157	0.000582718684005022	0.00050277954539389	0.000517157314734282
AKU26518.1	3.93431130259214e-05	2.60596355842472e-05	3.63747891355493e-05	3.8942020658143e-05
AKU26524.1	0.000866893035506004	0.000663551158241803	0.000583548123162605	0.000560141973932065
AKU26525.1	0.000319187308813924	0.000259383247127873	0.000316367931572384	0.000351621716052378
AKU26527.1	0.00165965754171753	0.000636783709091671	0.000705068771186921	0.000916817938045711
AKU26528.1	5.14708294247564e-05	4.75361280204018e-05	5.61343737422491e-05	5.07889097389253e-05
AKU26529.1	0.000348447837450644	0.000398889258048737	0.000375397790128459	0.000385052276064744
AKU26531.1	0.00191660630153333	0.000913484428064653	0.000956802071134385	0.00119831114031677
AKU26533.1	0.000420070262615068	0.000448301336808363	0.00049496555416894	0.00043368832392833
AKU26534.1	0.000115468302336219	0.000127813048034536	0.000119844890786508	9.35188448777943e-05
AKU26535.1	4.78575241103679e-05	8.22670953504424e-05	0.000134606610344986	7.69888252856488e-05
AKU26536.1	9.34523317805047e-05	9.86560906492604e-05	7.1721250935351e-05	8.49027165659359e-05
AKU26538.1	0.00123205159891055	0.000957410210987628	0.000442727207580724	0.00034265416083899
AKU26541.1	9.46169404834698e-05	9.15308106195543e-05	0.000131471164856704	6.63631520150539e-05
AKU26544.1	7.14441099430448e-05	7.0491144133489e-05	6.31245805875408e-05	6.17249032498181e-05
AKU26545.1	3.48971660065033e-05	2.54718239132478e-05	2.28952536651313e-05	3.05997458184442e-05
AKU26548.1	9.48264567075776e-05	8.43067046642153e-05	3.07847197250839e-05	7.35755527891632e-05
AKU26553.1	1.51925762278791e-05	3.44068777657329e-05	3.018552429062e-05	1.83686057809527e-05
AKU26555.1	0.000529228061508086	0.00110255118454424	0.00301441191412088	0.000975632965844756
AKU26556.1	8.9171023061175e-05	0.000109328036685365	7.65093484059876e-05	4.7964569764495e-05
AKU26557.1	4.03661054459636e-05	4.00575204180711e-05	3.80630088589021e-05	3.72831898240034e-05
AKU26558.1	6.71153348458003e-05	6.79599709419204e-05	9.5133252255473e-05	5.43366879026392e-05
AKU26559.1	7.54975538748047e-05	7.67127682840833e-05	8.91029392704499e-05	0.00012583978609743
AKU26563.1	0.000142490641198262	0.000134594059842821	8.579550013122e-05	0.000167585193098572
AKU26565.1	5.28549180721674e-05	6.62828154278094e-05	5.79426670092572e-05	5.14233416415438e-05
AKU26567.1	0.000396125650386341	0.000311265167877027	0.00066784293528595	0.000353683288341168
AKU26568.1	0.000405788445513013	0.000392106285595894	0.000393208061724871	0.000611509711163906
AKU26569.1	0.00486140226529603	0.00501049175983841	0.00379233769432195	0.00611105476381449
AKU26570.1	0.00183009051625922	0.00197184064982119	0.00164806363973944	0.00257896202432514
AKU26571.1	0.000218543684719815	0.000230640363703264	0.000279619129941706	0.000269105495702681
AKU26572.1	0.000176293039609734	0.000219766762690952	0.000293551806505873	0.000211150116665331
AKU26575.1	0.000638663549577322	0.000568320680343618	0.000727030234047826	0.000574903571174529
AKU26577.1	6.71338509068599e-05	2.71251306702734e-05	4.36239451045267e-05	6.62375520035617e-05
AKU26579.1	0.00658323983357051	0.00390455461548659	0.00189801121265058	0.00922388218306256
AKU26580.1	0.00446223812133764	0.00416520327906623	0.0028373963916142	0.00439239610127755
AKU26581.1	0.000218023820488133	0.000211014759669917	0.000326029453240004	0.000215479274949255
AKU26582.1	0.00145593815980699	0.00130410844297667	0.000762619136104533	0.000704912061520278
